2024-10-01 00:04:21;C;2790.18
2024-10-01 00:04:24;H;3993.9
2024-10-01 00:04:27;D;5949.0
2024-10-01 00:04:33;E;3481.07
2024-10-01 00:04:36;J;2162.37
2024-10-01 00:04:43;F;1597.49
2024-10-01 00:04:52;I;2682.69
2024-10-01 00:14:30;C;2790.19
2024-10-01 00:14:36;D;5949.1
2024-10-01 00:14:42;E;3481.08
2024-10-01 00:14:45;J;2162.5
2024-10-01 00:14:48;B;1668.96
2024-10-01 00:14:51;F;1597.5
2024-10-01 00:14:54;A;1649.25
2024-10-01 00:14:57;G;2080.99
2024-10-01 00:15:00;I;2682.71
2024-10-01 00:24:38;C;2790.2
2024-10-01 00:24:41;H;3993.95
2024-10-01 00:24:44;D;5949.1
2024-10-01 00:24:51;E;3481.09
2024-10-01 00:24:57;B;1668.98
2024-10-01 00:25:03;A;1649.26
2024-10-01 00:25:06;G;2081.01
2024-10-01 00:25:09;I;2682.72
2024-10-01 00:34:47;C;2790.21
2024-10-01 00:34:50;H;3993.96
2024-10-01 00:34:53;D;5949.1
2024-10-01 00:34:59;E;3481.1
2024-10-01 00:35:03;J;2162.51
2024-10-01 00:35:06;B;1668.99
2024-10-01 00:35:09;F;1597.51
2024-10-01 00:35:12;A;1649.27
2024-10-01 00:35:15;G;2081.02
2024-10-01 00:35:18;I;2682.74
2024-10-01 00:44:56;C;2790.22
2024-10-01 00:44:59;H;3993.97
2024-10-01 00:45:02;D;5949.2
2024-10-01 00:45:20;A;1649.31
2024-10-01 00:45:27;I;2682.75
2024-10-01 00:55:05;C;2790.24
2024-10-01 00:55:08;H;3993.98
2024-10-01 00:55:11;D;5949.2
2024-10-01 00:55:14;K;2147.11
2024-10-01 00:55:17;E;3481.11
2024-10-01 00:55:20;J;2162.52
2024-10-01 00:55:26;F;1597.52
2024-10-01 00:55:29;A;1649.5
2024-10-01 01:05:13;C;2790.25
2024-10-01 01:05:17;H;3994.0
2024-10-01 01:05:20;D;5949.3
2024-10-01 01:05:23;K;2147.12
2024-10-01 01:05:26;E;3481.12
2024-10-01 01:05:29;J;2162.54
2024-10-01 01:05:32;B;1669.01
2024-10-01 01:05:35;F;1597.53
2024-10-01 01:05:38;A;1649.7
2024-10-01 01:05:44;I;2682.76
2024-10-01 01:15:22;C;2790.26
2024-10-01 01:15:25;H;3994.01
2024-10-01 01:15:28;D;5949.3
2024-10-01 01:15:31;K;2147.13
2024-10-01 01:15:35;E;3481.14
2024-10-01 01:15:38;J;2162.56
2024-10-01 01:15:41;B;1669.02
2024-10-01 01:15:44;F;1597.54
2024-10-01 01:15:47;A;1649.75
2024-10-01 01:15:50;G;2081.03
2024-10-01 01:15:53;I;2682.78
2024-10-01 01:25:31;C;2790.27
2024-10-01 01:25:34;H;3994.02
2024-10-01 01:25:37;D;5949.3
2024-10-01 01:25:40;K;2147.14
2024-10-01 01:25:47;J;2162.58
2024-10-01 01:25:50;B;1669.03
2024-10-01 01:25:53;F;1597.55
2024-10-01 01:25:56;A;1649.76
2024-10-01 01:25:59;G;2081.04
2024-10-01 01:26:02;I;2682.79
2024-10-01 01:35:40;C;2790.28
2024-10-01 01:35:43;H;3994.04
2024-10-01 01:35:46;D;5949.3
2024-10-01 01:35:55;J;2162.59
2024-10-01 01:36:08;G;2081.06
2024-10-01 01:36:11;I;2682.81
2024-10-01 01:45:49;C;2790.29
2024-10-01 01:45:52;H;3994.05
2024-10-01 01:45:55;D;5949.3
2024-10-01 01:46:01;E;3481.15
2024-10-01 01:46:04;J;2162.6
2024-10-01 01:46:07;B;1669.04
2024-10-01 01:46:10;F;1597.56
2024-10-01 01:46:13;A;1649.77
2024-10-01 01:56:00;H;3994.07
2024-10-01 01:56:03;D;5949.4
2024-10-01 01:56:10;E;3481.17
2024-10-01 01:56:16;B;1669.05
2024-10-01 01:56:19;F;1597.57
2024-10-01 01:56:28;I;2682.82
2024-10-01 02:06:09;H;3994.08
2024-10-01 02:06:12;D;5949.4
2024-10-01 02:06:27;F;1597.58
2024-10-01 02:06:37;I;2682.83
2024-10-01 02:16:15;C;2790.3
2024-10-01 02:16:18;H;3994.09
2024-10-01 02:16:21;D;5949.4
2024-10-01 02:16:27;E;3481.19
2024-10-01 02:16:33;B;1669.06
2024-10-01 02:16:39;A;1649.78
2024-10-01 02:16:45;I;2682.85
2024-10-01 02:26:26;H;3994.11
2024-10-01 02:26:30;D;5949.4
2024-10-01 02:26:42;B;1669.07
2024-10-01 02:26:45;F;1597.59
2024-10-01 02:26:48;A;1649.79
2024-10-01 02:26:51;G;2081.07
2024-10-01 02:26:54;I;2682.86
2024-10-01 02:36:35;H;3994.12
2024-10-01 02:36:38;D;5949.4
2024-10-01 02:36:44;E;3481.2
2024-10-01 02:37:00;G;2081.08
2024-10-01 02:37:03;I;2682.88
2024-10-01 02:46:44;H;3994.14
2024-10-01 02:46:47;D;5949.5
2024-10-01 02:46:50;K;2147.15
2024-10-01 02:46:53;E;3481.22
2024-10-01 02:47:02;F;1597.6
2024-10-01 02:47:05;A;1649.8
2024-10-01 02:47:09;G;2081.1
2024-10-01 02:56:53;H;3994.15
2024-10-01 02:56:56;D;5949.5
